Prefecture,City,Male,Female
北海道,  中央区,78.5 ,86.0
北海道,  北区,78.5 ,85.1 
北海道,  東区,78.3 ,85.2 
北海道,  白石区,77.6 ,84.6 
北海道,  豊平区,78.0 ,85.4 
北海道,  南区,78.6 ,85.9 
北海道,  西区,78.3 ,85.5 
北海道,  厚別区,79.4 ,86.0 
北海道,  手稲区,78.8 ,86.7 
北海道,  清田区,78.5 ,85.4 
北海道,  函館市,75.9 ,83.3 
北海道,  小樽市,76.4 ,84.1 
北海道,  旭川市,77.7 ,84.9 
北海道,  室蘭市,76.9 ,84.2 
北海道,  釧路市,76.4 ,84.0 
北海道,  帯広市,78.1 ,85.0 
北海道,  北見市,78.6 ,84.7 
北海道,  夕張市,77.5 ,84.5 
北海道,  岩見沢市,77.4 ,84.2 
北海道,  網走市,77.9 ,84.7 
北海道,  留萌市,77.3 ,83.6 
北海道,  苫小牧市,76.9 ,84.5 
北海道,  稚内市,77.6 ,84.1 
北海道,  美唄市,77.6 ,84.7 
北海道,  芦別市,75.7 ,84.9 
北海道,  江別市,78.2 ,85.2 
北海道,  赤平市,75.7 ,83.6 
北海道,  紋別市,75.9 ,83.6 
北海道,  士別市,77.4 ,84.6 
北海道,  名寄市,77.7 ,84.6 
北海道,  三笠市,77.0 ,83.9 
北海道,  根室市,76.3 ,83.4 
北海道,  千歳市,77.8 ,85.0 
北海道,  滝川市,77.7 ,85.4 
北海道,  砂川市,77.5 ,84.8 
北海道,  歌志内市,76.1 ,84.3 
北海道,  深川市,78.2 ,85.3 
北海道,  富良野市,78.1 ,84.6 
北海道,  登別市,77.7 ,84.9 
北海道,  恵庭市,78.0 ,85.3 
北海道,  伊達市,77.3 ,85.1 
北海道,  北広島市,78.6 ,86.7 
北海道,  石狩市,78.3 ,85.9 
北海道,  当別町,78.2 ,85.2 
北海道,  新篠津村,78.2 ,85.2 
北海道,  厚田村,78.0 ,85.3 
北海道,  浜益村,78.1 ,85.2 
北海道,  松前町,74.6 ,82.9 
北海道,  福島町,76.0 ,84.1 
北海道,  知内町,75.6 ,84.2 
北海道,  木古内町,76.9 ,83.6 
北海道,  上磯町,76.2 ,83.9 
北海道,  大野町,76.2 ,84.0 
北海道,  七飯町,76.5 ,84.7 
北海道,  戸井町,76.4 ,83.0 
北海道,  恵山町,75.1 ,82.9 
北海道,  椴法華村,76.3 ,83.3 
北海道,  南茅部町,76.1 ,84.0 
北海道,  鹿部町,75.9 ,83.3 
北海道,  砂原町,76.2 ,83.4 
北海道,  森町,76.1 ,84.0 
北海道,  八雲町,76.0 ,84.6 
北海道,  長万部町,77.1 ,83.9 
北海道,  江差町,76.9 ,84.3 
北海道,  上ノ国町,76.2 ,83.5 
北海道,  厚沢部町,77.0 ,84.5 
北海道,  乙部町,76.3 ,83.5 
北海道,  熊石町,75.8 ,84.2 
北海道,  大成町,76.5 ,84.4 
北海道,  奥尻町,76.6 ,84.7 
北海道,  瀬棚町,76.4 ,83.6 
北海道,  北檜山町,76.5 ,84.5 
北海道,  今金町,77.2 ,84.0 
北海道,  島牧村,76.4 ,83.8 
北海道,  寿都町,76.9 ,83.4 
北海道,  黒松内町,74.6 ,83.9 
北海道,  蘭越町,76.7 ,84.5 
北海道,  ニセコ町,76.6 ,84.5 
北海道,  真狩村,75.8 ,84.8 
北海道,  留寿都村,76.7 ,82.1 
北海道,  喜茂別町,76.8 ,83.2 
北海道,  京極町,76.9 ,84.5 
北海道,  倶知安町,76.7 ,84.6 
北海道,  共和町,76.5 ,84.4 
北海道,  岩内町,75.7 ,84.0 
北海道,  泊村,74.9 ,83.4 
北海道,  神恵内村,76.7 ,84.5 
北海道,  積丹町,76.5 ,83.4 
北海道,  古平町,76.9 ,83.9 
北海道,  仁木町,77.0 ,82.9 
北海道,  余市町,76.2 ,84.4 
北海道,  赤井川村,76.7 ,84.3 
北海道,  北村,78.2 ,85.8 
北海道,  栗沢町,78.5 ,84.9 
北海道,  南幌町,78.2 ,85.6 
北海道,  奈井江町,77.6 ,84.6 
北海道,  上砂川町,77.3 ,84.7 
北海道,  由仁町,77.9 ,85.1 
北海道,  長沼町,78.4 ,85.4 
北海道,  栗山町,78.1 ,84.9 
北海道,  月形町,78.4 ,85.6 
北海道,  浦臼町,78.1 ,85.2 
北海道,  新十津川町,77.1 ,85.2 
北海道,  妹背牛町,78.2 ,84.1 
北海道,  秩父別町,77.5 ,84.4 
北海道,  雨竜町,78.3 ,85.1 
